STATE,RATE
Alabama,73.2
Alaska,76.6
Arizona,76.3
Arkansas,73.8
California,79.0
Colorado,78.3
Connecticut,78.4
Delaware,76.7
Florida,77.5
Georgia,75.6
Hawaii,80.7
Idaho,78.4
Illinois,76.8
Indiana,75.0
Iowa,77.5
Kansas,76.4
Kentucky,73.5
Louisiana,73.1
Maine,77.8
Maryland,76.8
Massachusetts,79.0
Michigan,76.0
Minnesota,79.1
Mississippi,71.9
Missouri,75.1
Montana,76.8
Nebraska,77.7
Nevada,76.3
New Hampshire,79.0
New Jersey,77.5
New Mexico,74.5
New York,77.7
North Carolina,76.1
North Dakota,76.9
Ohio,75.3
Oklahoma,74.1
Oregon,78.8
Pennsylvania,76.8
Rhode Island,78.2
South Carolina,74.8
South Dakota,76.7
Tennessee,73.8
Texas,76.5
Utah,78.6
Vermont,78.8
Virginia,77.6
Washington,79.2
West Virginia,72.8
Wisconsin,77.7
Wyoming,76.3
Alabama,75.2
Alaska,77.7
Arizona,78.8
Arkansas,75.7
California,80.9
Colorado,80.0
Connecticut,80.3
Delaware,78.1
Florida,79.0
Georgia,77.4
Hawaii,80.9
Idaho,79.5
Illinois,79.0
Indiana,77.0
Iowa,79.0
Kansas,78.2
Kentucky,75.5
Louisiana,75.7
Maine,78.3
Maryland,78.5
Massachusetts,80.4
Michigan,78.0
Minnesota,80.4
Mississippi,74.4
Missouri,76.9
Montana,78.4
Nebraska,79.2
Nevada,78.0
New Hampshire,79.4
New Jersey,80.1
New Mexico,76.9
New York,80.7
North Carolina,77.6
North Dakota,78.8
Ohio,76.9
Oklahoma,75.7
Oregon,79.6
Pennsylvania,78.3
Rhode Island,79.5
South Carolina,76.8
South Dakota,78.4
Tennessee,75.6
Texas,78.6
Utah,79.7
Vermont,79.8
Virginia,79.1
Washington,80.0
West Virginia,74.5
Wisconsin,79.3
Wyoming,77.7
Alabama,75.1
Alaska,78.0
Arizona,78.7
Arkansas,75.6
California,80.8
Colorado,80.0
Connecticut,80.4
Delaware,77.8
Florida,78.9
Georgia,77.2
Hawaii,81.0
Idaho,79.0
Illinois,78.8
Indiana,76.8
Iowa,79.2
Kansas,78.0
Kentucky,75.3
Louisiana,75.6
Maine,78.6
Maryland,78.5
Massachusetts,80.1
Michigan,77.7
Minnesota,80.5
Mississippi,74.6
Missouri,76.6
Montana,78.7
Nebraska,79.1
Nevada,77.9
New Hampshire,79.1
New Jersey,79.8
New Mexico,77.2
New York,80.5
North Carolina,77.6
North Dakota,79.3
Ohio,76.8
Oklahoma,75.6
Oregon,79.7
Pennsylvania,78.1
Rhode Island,79.8
South Carolina,76.5
South Dakota,78.9
Tennessee,75.5
Texas,78.4
Utah,79.6
Vermont,79.3
Virginia,79.0
Washington,80.0
West Virginia,74.4
Wisconsin,79.3
Wyoming,78.1
